fips,adult_pop,female_pop,male_pop,median_age,population,pct_poverty,median_income,pct_highschool,pct_unemployed
48081,2578,1657,1607,48.8,3264,15.6,41529,85.3,2.6
48083,6593,4199,4221,47.1,8420,20.1,42258,82.6,3.1
48085,689224,478208,461377,36.7,939585,6.3,90382,93.6,3.2
48087,2196,1552,1464,36.8,3016,19.7,37389,77,3
48089,16179,10481,10538,43.6,21019,14.5,48161,81.8,1.9
48091,104063,68292,66496,42.4,134788,8.6,76296,91.5,2.7
48093,10471,6827,6657,45.5,13484,17.1,40052,79.9,2.7
48095,3711,1263,3016,40.9,4279,25.8,39622,61.4,0.6
48097,29841,19710,19556,40.1,39266,13.8,59243,86.1,4.2
48099,56965,37713,36973,31.8,74686,14.2,50122,87.6,4
48101,1076,721,681,45.1,1402,21.4,34605,72.2,6.9
48103,3398,2419,2411,33.6,4830,10.3,57408,72.8,2
48105,2737,1811,1864,39,3675,16.9,46556,73.7,1.6
48107,4356,3041,2951,37.5,5992,24.1,35136,72.3,5.8
48109,1663,1112,1086,40,2198,23.6,36663,64.9,2.8
48111,4806,3433,3623,30.9,7056,11.3,48470,72.7,3.5
48113,1887435,1307558,1267426,33.4,2574984,16.3,54429,78,4.6
48115,9708,5968,7143,33.7,13111,21.4,41073,74.1,3.7
48117,12913,9461,9369,31.6,18830,17.1,43944,71.8,3.2
48119,4044,2647,2568,44.4,5215,18.5,41266,86.3,4.8
48121,600458,409797,396383,35.1,806180,8.2,80841,92,3.7
48123,16106,9923,10942,41.6,20865,18.2,46915,79.9,3.4
48125,1765,937,1247,42.3,2184,21.8,38239,78.5,5.4
48127,7568,5510,5284,33.4,10794,27.6,38275,66.6,7.3
48129,2704,1728,1677,41.9,3405,18.6,38777,87.3,2.6
48131,8481,5567,5861,36.2,11428,26.3,34777,67.1,5.9
48133,14400,9238,9036,42.2,18274,20,37789,82.8,2.4
48135,109943,77799,79663,30.5,157462,13.9,53474,75.1,4.4
48137,1502,904,1007,47.8,1911,23.3,36539,75.1,2.3
48139,123249,85466,83033,36,168499,9.7,69448,84.6,3.7
48141,605418,426178,411740,32.1,837918,22.7,42048,76.5,4.6
48143,33014,21095,20564,30.3,41659,19.5,43787,83.9,2.5
48145,13593,9045,8228,39,17273,25.6,38559,75.7,2.8
48147,26947,15979,18052,42.3,34031,16.1,46347,83,3.3
48149,19923,12805,12344,47.4,25149,11.1,53776,81.7,0.9
48151,3056,1929,1925,45.6,3854,15.6,46247,82.8,3.9
48153,4322,2969,2948,37.5,5917,22.8,40536,73.2,4.4
48155,955,619,564,48.8,1183,18,36056,80.8,5.1
48157,536203,376903,364334,36.1,741237,8.3,90972,89.2,3.6
48159,8028,5332,5275,42.8,10607,15.8,44202,85.5,3.8
48161,15083,9429,10195,41.5,19624,19.1,45681,81.1,2.8
48163,14317,7821,11135,31.4,18956,25.8,39193,62.8,3.5
48165,13167,10165,10313,28.4,20478,14.6,51910,60.4,2.8
48167,248549,167013,162418,37.5,329431,12.9,64155,87.6,4.6
48169,5307,2260,4182,33.6,6442,30,44210,57,1.2
48171,21343,13725,12796,51,26521,9.8,58787,89.3,3.3
48173,980,588,726,37.4,1314,8.7,71360,75.2,1.6
48175,5892,3793,3724,45.2,7517,14.3,55264,88.8,5.2
48177,15177,10322,10554,36.9,20876,17.1,45491,72.5,3.9
48179,16915,10658,12067,37.3,22725,19.4,47828,80.3,3
48181,97620,65523,62712,39.6,128235,13.2,51808,87.6,4.6
48183,91544,63279,60466,35.5,123745,17.4,45594,83.7,3.5
48185,21499,12591,15080,40.9,27671,16.7,50891,77.8,3
48187,115429,78610,76655,36.8,155265,9.8,67683,88.2,3.3
48189,24756,16510,17753,32.8,34263,21.6,40152,75.4,3.8
48191,2400,1601,1537,43.5,3138,25.8,30971,72.1,4.6
48193,6562,4167,4137,46.9,8304,15.1,45718,82.2,2.6
48195,3909,2728,2810,35.2,5538,13.4,57832,74,1.6
48197,2985,1946,1960,42.2,3906,17.8,35521,75.6,3.1
48199,42419,28486,27836,39,56322,10.8,60692,86.9,2.8
48201,3350806,2308057,2281871,33.3,4589928,16.6,56415,80.2,4.8
48203,49549,34057,32477,37.9,66534,17.4,47181,82.8,4.9
48205,4478,2367,3380,39.9,5747,9.6,70121,82.1,0.7
48207,4577,2680,3001,41.9,5681,24.5,34653,68.5,4.7
48209,157066,102759,101711,31.7,204470,12.4,64864,88.9,4.1
48211,2797,2100,2029,33.8,4129,10,74856,78.7,3
48213,62611,40948,38953,44.3,79901,16.8,43425,82.9,3.6
48215,566954,434569,415274,29.1,849843,31.2,35928,63.3,5.2
48217,26813,17638,17439,41.8,35077,16.2,47338,80.3,5.1
48219,17170,11709,11566,33.7,23275,17.1,46856,78.2,4.6
48221,44891,29071,27786,46.4,56857,10.3,57346,88.2,1.7
48223,27308,18562,17838,39.5,36400,15.3,46582,82.4,3.5
48225,18347,10654,12100,44.5,22754,22.1,34587,82.4,2.2
48227,28664,15731,20977,36.5,36708,17.9,51863,79.4,3.5
48229,3092,2008,2045,34.6,4053,21.4,35252,52.2,2.4
48231,70134,46609,45464,38.3,92073,16.3,51827,82.7,5.7
48233,15945,10670,10841,37.4,21511,13.1,53936,84.9,2.9
48235,1181,767,790,43.5,1557,8,67249,91.7,2.1
48237,6842,3821,4923,39,8744,17.2,46975,78.9,2.2
48239,11080,7490,7379,38.3,14869,13.5,53143,84.1,3.1
48241,27001,18032,17616,40.9,35648,19.2,44909,86.8,5.3
48243,1999,1086,1114,57.1,2200,13,46688,80.6,2.5
48245,193777,124140,130539,36.1,254679,20.1,46198,83.3,4.2
48247,3600,2572,2574,34.7,5146,27.9,33784,74.9,9
48249,29450,20902,20247,34.4,41149,23.2,40056,73.4,3.6
48251,120740,81771,81503,36.8,163274,11.3,59809,83.8,3.9
48253,16470,7387,12622,38.2,20009,21.3,40931,77.3,1.2
48255,12066,6248,9006,35.6,15254,21.8,47608,76.5,1.8
48257,85774,59986,58364,35.8,118350,11.4,62363,84.5,4.6
48259,32625,21803,20737,43.1,42540,7.4,83805,93,2.8
48261,287,202,202,36.8,404,16.2,38718,57.6,0
48263,615,393,376,51.1,769,11.5,45123,78.3,1.3
